,label,buyingvhigh,buyinghigh,buyingmed,maintvhigh,mainthigh,maintmed,doors5,doors4,doors3,persons5,persons4,lug_boot2,lug_boot1,safety2,safety1
0,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True
1,False,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True
2,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False
3,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,True
4,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True
5,False,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False
6,False,True,True,True,True,True,True,False,False,False,False,False,True,True,False,True
7,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True
8,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False
9,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,True
10,False,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True
11,False,True,True,True,True,True,True,False,False,False,False,True,False,True,False,False
12,False,True,True,True,True,True,True,False,False,False,False,True,False,True,False,True
13,False,True,True,True,True,True,True,False,False,False,False,True,False,True,True,True
14,False,True,True,True,True,True,True,False,False,False,False,True,True,True,False,False
15,False,True,True,True,True,True,True,False,False,False,False,True,True,True,False,True
16,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True
17,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False
18,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,True
19,False,True,True,True,True,True,True,False,False,False,True,True,False,False,True,True
20,False,True,True,True,True,True,True,False,False,False,True,True,False,True,False,False
21,False,True,True,True,True,True,True,False,False,False,True,True,False,True,False,True
22,False,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True
23,False,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False
24,False,True,True,True,True,True,True,False,False,False,True,True,True,True,False,True
25,False,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True
26,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False
27,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True
28,False,True,True,True,True,True,True,False,False,True,False,False,False,False,True,True
29,False,True,True,True,True,True,True,False,False,True,False,False,False,True,False,False
30,False,True,True,True,True,True,True,False,False,True,False,False,False,True,False,True
31,False,True,True,True,True,True,True,False,False,True,False,False,False,True,True,True
32,False,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False
33,False,True,True,True,True,True,True,False,False,True,False,False,True,True,False,True
34,False,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True
35,False,True,True,True,True,True,True,False,False,True,False,True,False,False,False,False
36,False,True,True,True,True,True,True,False,False,True,False,True,False,False,False,True
37,False,True,True,True,True,True,True,False,False,True,False,True,False,False,True,True
38,False,True,True,True,True,True,True,False,False,True,False,True,False,True,False,False
39,False,True,True,True,True,True,True,False,False,True,False,True,False,True,False,True
40,False,True,True,True,True,True,True,False,False,True,False,True,False,True,True,True
41,False,True,True,True,True,True,True,False,False,True,False,True,True,True,False,False
42,False,True,True,True,True,True,True,False,False,True,False,True,True,True,False,True
43,False,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True
44,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False
45,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,True
46,False,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True
47,False,True,True,True,True,True,True,False,False,True,True,True,False,True,False,False
48,False,True,True,True,True,True,True,False,False,True,True,True,False,True,False,True
49,False,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True
50,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False
51,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,True
52,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True
53,False,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False
54,False,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True
55,False,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True
56,False,True,True,True,True,True,True,False,True,True,False,False,False,True,False,False
57,False,True,True,True,True,True,True,False,True,True,False,False,False,True,False,True
58,False,True,True,True,True,True,True,False,True,True,False,False,False,True,True,True
59,False,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False
60,False,True,True,True,True,True,True,False,True,True,False,False,True,True,False,True
61,False,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True
62,False,True,True,True,True,True,True,False,True,True,False,True,False,False,False,False
63,False,True,True,True,True,True,True,False,True,True,False,True,False,False,False,True
64,False,True,True,True,True,True,True,False,True,True,False,True,False,False,True,True
65,False,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False
66,False,True,True,True,True,True,True,False,True,True,False,True,False,True,False,True
67,False,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True
68,False,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False
69,False,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True
70,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True
71,False,True,True,True,True,True,True,False,True,True,True,True,False,False,False,False
72,False,True,True,True,True,True,True,False,True,True,True,True,False,False,False,True
73,False,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True
74,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False
75,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True
76,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True
77,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False
78,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True
79,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
80,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
81,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True
82,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True
83,False,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False
84,False,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True
85,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True
86,False,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False
87,False,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True
88,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True
89,False,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False
90,False,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True
91,False,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True
92,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False
93,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True
94,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True
95,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False
96,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True
97,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
98,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
99,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True
100,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
101,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False
102,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True
