,label,a1,a2,b1,b2,c1,d1,d2,e1,e2,e3,f1
0,0,True,False,True,False,True,True,False,False,False,False,True
1,0,True,False,True,False,True,False,True,True,False,False,True
2,0,True,False,True,False,True,False,True,True,False,False,False
3,0,True,False,True,False,True,False,True,False,True,False,True
4,0,True,False,True,False,True,False,True,False,False,True,True
5,0,True,False,True,False,True,False,True,False,False,False,True
6,0,True,False,True,False,True,False,False,False,True,False,True
7,0,True,False,True,False,True,False,False,False,False,False,True
8,0,True,False,True,False,False,True,False,True,False,False,True
9,0,True,False,True,False,False,True,False,True,False,False,False
10,0,True,False,True,False,False,False,True,False,False,True,True
11,0,True,False,True,False,False,False,True,False,False,False,True
12,1,True,False,True,False,False,False,True,False,False,False,False
13,0,True,False,True,False,False,False,False,True,False,False,False
14,1,True,False,True,False,False,False,False,False,True,False,False
15,0,True,False,False,True,True,True,False,True,False,False,False
16,0,True,False,False,True,True,False,True,True,False,False,False
17,1,True,False,False,True,True,False,True,False,True,False,False
18,0,True,False,False,True,True,False,True,False,False,True,True
19,1,True,False,False,True,True,False,True,False,False,True,False
20,0,True,False,False,True,True,False,True,False,False,False,True
21,0,True,False,False,True,True,False,False,True,False,False,True
22,0,True,False,False,True,True,False,False,True,False,False,False
23,1,True,False,False,True,True,False,False,False,True,False,False
24,0,True,False,False,True,True,False,False,False,False,True,True
25,1,True,False,False,True,True,False,False,False,False,True,False
26,0,True,False,False,True,True,False,False,False,False,False,True
27,1,True,False,False,True,True,False,False,False,False,False,False
28,0,True,False,False,True,False,True,False,False,True,False,True
29,0,True,False,False,True,False,True,False,False,False,False,True
30,1,True,False,False,True,False,False,True,False,False,True,True
31,1,True,False,False,True,False,False,True,False,False,False,True
32,0,True,False,False,True,False,False,False,True,False,False,True
33,1,True,False,False,True,False,False,False,True,False,False,False
34,1,True,False,False,True,False,False,False,False,False,True,True
35,0,True,False,False,True,False,False,False,False,False,True,False
36,1,True,False,False,True,False,False,False,False,False,False,True
37,0,True,False,False,True,False,False,False,False,False,False,False
38,0,True,False,False,False,True,True,False,True,False,False,False
39,0,True,False,False,False,True,True,False,False,True,False,False
40,0,True,False,False,False,True,True,False,False,False,True,True
41,0,True,False,False,False,True,True,False,False,False,True,False
42,0,True,False,False,False,True,False,True,False,True,False,True
43,1,True,False,False,False,True,False,True,False,True,False,False
44,1,True,False,False,False,True,False,True,False,False,True,False
45,0,True,False,False,False,True,False,True,False,False,False,True
46,1,True,False,False,False,True,False,False,False,True,False,False
47,0,True,False,False,False,True,False,False,False,False,True,True
48,1,True,False,False,False,True,False,False,False,False,False,False
49,0,True,False,False,False,False,True,False,False,False,True,True
50,1,True,False,False,False,False,True,False,False,False,True,False
51,0,True,False,False,False,False,True,False,False,False,False,True
52,1,True,False,False,False,False,False,True,True,False,False,False
53,0,True,False,False,False,False,False,True,False,False,True,False
54,0,True,False,False,False,False,False,True,False,False,False,False
55,1,True,False,False,False,False,False,False,False,True,False,True
56,0,False,True,True,False,True,True,False,True,False,False,True
57,0,False,True,True,False,True,True,False,False,True,False,False
58,0,False,True,True,False,True,True,False,False,False,True,True
59,1,False,True,True,False,True,False,True,False,True,False,False
60,0,False,True,True,False,True,False,False,True,False,False,False
61,1,False,True,True,False,True,False,False,False,True,False,False
62,1,False,True,True,False,True,False,False,False,False,True,False
63,0,False,True,True,False,True,False,False,False,False,False,True
64,0,False,True,True,False,False,True,False,True,False,False,True
65,1,False,True,True,False,False,True,False,False,True,False,False
66,0,False,True,True,False,False,True,False,False,False,False,True
67,1,False,True,True,False,False,False,True,False,True,False,True
68,0,False,True,True,False,False,False,True,False,False,False,False
69,0,False,True,True,False,False,False,False,True,False,False,True
70,1,False,True,True,False,False,False,False,True,False,False,False
71,0,False,True,True,False,False,False,False,False,True,False,False
72,0,False,True,True,False,False,False,False,False,False,True,False
73,0,False,True,True,False,False,False,False,False,False,False,False
74,0,False,True,False,True,True,True,False,False,False,True,True
75,1,False,True,False,True,True,True,False,False,False,False,False
76,0,False,True,False,True,True,False,True,True,False,False,True
77,1,False,True,False,True,True,False,True,False,False,True,True
78,1,False,True,False,True,True,False,False,False,False,True,True
79,0,False,True,False,True,True,False,False,False,False,True,False
80,1,False,True,False,True,True,False,False,False,False,False,True
81,0,False,True,False,True,False,True,False,True,False,False,True
82,0,False,True,False,True,False,True,False,False,True,False,False
83,0,False,True,False,True,False,True,False,False,False,True,False
84,1,False,True,False,True,False,True,False,False,False,False,True
85,0,False,True,False,True,False,True,False,False,False,False,False
86,1,False,True,False,True,False,False,True,True,False,False,True
87,0,False,True,False,True,False,False,True,False,True,False,False
88,0,False,True,False,True,False,False,True,False,False,True,True
89,1,False,True,False,True,False,False,False,True,False,False,True
90,0,False,True,False,True,False,False,False,False,True,False,True
91,0,False,True,False,True,False,False,False,False,True,False,False
92,0,False,True,False,True,False,False,False,False,False,False,False
93,0,False,True,False,False,True,True,False,True,False,False,True
94,0,False,True,False,False,True,True,False,True,False,False,False
95,1,False,True,False,False,True,True,False,False,False,True,False
96,0,False,True,False,False,True,False,True,True,False,False,True
97,1,False,True,False,False,True,False,True,False,False,True,True
98,0,False,True,False,False,True,False,True,False,False,True,False
99,0,False,True,False,False,True,False,True,False,False,False,False
100,1,False,True,False,False,True,False,False,True,False,False,False
101,1,False,True,False,False,True,False,False,False,True,False,True
102,1,False,True,False,False,True,False,False,False,False,False,True
103,1,False,True,False,False,False,True,False,True,False,False,False
104,1,False,True,False,False,False,True,False,False,True,False,True
105,1,False,True,False,False,False,True,False,False,False,True,True
106,0,False,True,False,False,False,True,False,False,False,False,False
107,1,False,True,False,False,False,False,True,True,False,False,True
108,0,False,True,False,False,False,False,True,False,True,False,True
109,0,False,True,False,False,False,False,True,False,False,True,False
110,0,False,True,False,False,False,False,False,False,False,True,True
111,0,False,True,False,False,False,False,False,False,False,True,False
112,0,False,True,False,False,False,False,False,False,False,False,False
113,0,False,False,True,False,True,True,False,False,False,False,True
114,0,False,False,True,False,True,False,True,True,False,False,False
115,1,False,False,True,False,True,False,True,False,True,False,False
116,1,False,False,True,False,True,False,True,False,False,True,False
117,0,False,False,True,False,True,False,True,False,False,False,True
118,1,False,False,True,False,True,False,True,False,False,False,False
119,0,False,False,True,False,True,False,False,True,False,False,True
120,0,False,False,True,False,True,False,False,True,False,False,False
121,1,False,False,True,False,True,False,False,False,True,False,False
122,1,False,False,True,False,True,False,False,False,False,True,False
123,0,False,False,True,False,False,True,False,True,False,False,True
124,1,False,False,True,False,False,True,False,False,True,False,False
125,0,False,False,True,False,False,True,False,False,False,True,True
126,1,False,False,True,False,False,True,False,False,False,True,False
127,0,False,False,True,False,False,True,False,False,False,False,True
128,1,False,False,True,False,False,True,False,False,False,False,False
129,1,False,False,True,False,False,False,True,False,True,False,True
130,1,False,False,True,False,False,False,False,True,False,False,False
131,1,False,False,True,False,False,False,False,False,True,False,True
132,0,False,False,True,False,False,False,False,False,True,False,False
133,0,False,False,True,False,False,False,False,False,False,False,False
134,0,False,False,False,True,True,True,False,True,False,False,False
135,1,False,False,False,True,True,True,False,False,True,False,False
136,0,False,False,False,True,True,True,False,False,False,True,True
