,label,x1,x2,x3,x4,x5,x6,x7,x8,x9,o1,o2,o3,o4,o5,o6,o7,o8,o9
0,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False,True
1,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False
2,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False
3,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False
4,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True
5,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False
6,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True
7,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True
8,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False
9,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
10,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True
11,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,True,True,True
12,True,True,True,True,False,False,True,False,True,False,False,False,False,True,True,False,True,False,True
13,True,True,True,True,False,False,True,False,False,True,False,False,False,True,True,False,True,True,False
14,True,True,True,True,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False
15,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
16,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
17,True,True,True,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False
18,True,True,True,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True
19,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True
20,True,True,True,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,True
21,True,True,True,True,False,False,False,True,True,False,False,False,False,True,True,True,False,False,True
22,True,True,True,True,False,False,False,True,False,True,False,False,False,True,True,True,False,True,False
23,True,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False
24,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False
25,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
26,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False
27,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
28,True,True,True,True,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False
29,True,True,True,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False
30,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True
31,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
32,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
33,True,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False
34,True,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True
35,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True
36,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False
37,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
38,True,True,True,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False
39,True,True,True,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False
40,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
41,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
42,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
43,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True
44,True,True,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True
45,True,True,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False
46,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
47,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
48,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
49,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False
50,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True
51,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True
52,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False
53,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True
54,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True
55,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False
